knowledge_id,topic_id,source_id,title,summary,review_status,content_status,published_date,last_reviewed_date,content_version
know_mc_001,menstrual_cycle,src_owh_cycle,What counts as a normal menstrual cycle,"A typical menstrual cycle runs from the first day of one period to the first day of the next, and cycle lengths of about 24 to 38 days are both considered normal. Cycle length and flow can vary somewhat from month to month without indicating a problem.",APPROVED,CURRENT,2025-01-15,2025-11-03,1
know_mc_002,menstrual_cycle,src_mayo_cycle,The four phases of the menstrual cycle,"The cycle moves through four overlapping phases — menstrual, follicular, ovulation, and luteal — each driven by shifting levels of estrogen and progesterone that prepare the body for a possible pregnancy.",APPROVED,CURRENT,2025-02-01,2025-12-10,1
know_mc_003,menstrual_cycle,src_mayo_cycle,What irregular periods can mean,"Cycles that are consistently shorter than 24 days, longer than 38 days, or that vary by more than about a week from month to month are considered irregular and can have causes ranging from stress to underlying hormonal conditions.",APPROVED,CURRENT,2025-02-01,2025-12-10,1
know_mc_004,menstrual_cycle,src_owh_cycle,When to talk to a doctor about your cycle,"Periods that stop for 90 days without pregnancy, bleeding between periods, periods lasting more than seven days, or cycles that suddenly become very painful or heavy are reasons to check in with a healthcare provider.",APPROVED,CURRENT,2025-01-15,2025-11-03,1
know_mc_005,menstrual_cycle,src_owh_pms,Premenstrual syndrome (PMS): symptoms and timing,"PMS refers to physical and emotional symptoms — such as bloating, headaches, and mood changes — that many people experience in the one to two weeks before a period starts, resolving once bleeding begins.",APPROVED,CURRENT,2025-03-05,2026-01-20,1
know_mc_006,menstrual_cycle,src_owh_pms,Everyday ways to manage PMS symptoms,"Regular exercise, consistent sleep, and reducing caffeine and salt intake are commonly suggested starting points for managing mild PMS; symptoms severe enough to disrupt daily life may point to PMDD and are worth discussing with a provider.",APPROVED,CURRENT,2025-03-05,2026-01-20,1
know_mc_007,menstrual_cycle,src_owh_cycle,Why tracking your cycle is useful,"Recording cycle start dates, length, and symptoms over time can help you and a healthcare provider notice patterns and catch changes early, since your cycle can be an indicator of overall health.",NEEDS_REVIEW,CURRENT,2024-06-01,2024-06-01,1
know_pcos_001,pcos,src_acog_pcos,What PCOS is,"Polycystic ovary syndrome (PCOS) is a common hormonal condition involving some combination of insulin resistance, higher-than-typical androgen hormone levels, and irregular ovulation; its exact cause isn't fully understood.",APPROVED,CURRENT,2025-04-10,2025-10-15,1
know_pcos_002,pcos,src_acog_pcos,Common signs and symptoms of PCOS,"PCOS can show up as irregular or absent periods, excess hair growth on the face or body, acne, and weight gain, though symptoms and their severity vary widely between individuals.",APPROVED,CURRENT,2025-04-10,2025-10-15,1
know_pcos_003,pcos,src_acog_pcos,How PCOS is typically diagnosed,"Diagnosis generally looks at a combination of irregular periods, signs of excess androgens, and ovarian ultrasound findings, since no single test confirms PCOS on its own.",APPROVED,CURRENT,2025-04-10,2025-10-15,1
know_pcos_004,pcos,src_acog_pcos,How PCOS relates to irregular periods,"Irregular ovulation from PCOS often leads to unpredictable or infrequent periods, which is one of the most common reasons people with PCOS first seek care.",APPROVED,CURRENT,2025-04-10,2025-10-15,1
